#####################################################
Current value: 0.5938137769699097, Current params: {'LEARNING_RATE': 0.0033619240035808445, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0005051107465938696, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7399516738091747, 'DAMPENING': 0.12955384101786993, 'GAMMA': 0.5386269620728772, 'STEP_SIZE': 21}
     Best value: 0.5116968846746853, Best params: {'LEARNING_RATE': 0.0027429695508424273, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.023800223538104806, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8391488616327069, 'DAMPENING': 0.14292770092835805, 'GAMMA': 0.3104991433982568, 'STEP_SIZE': 45}

#####################################################
Current value: 0.5779319128819874, Current params: {'LEARNING_RATE': 0.0017811004568781172, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.029287509215341324, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8022348476112356, 'DAMPENING': 0.10754439216535565, 'GAMMA': 0.4113571674356898, 'STEP_SIZE': 45}
     Best value: 0.5116968846746853, Best params: {'LEARNING_RATE': 0.0027429695508424273, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.023800223538104806, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8391488616327069, 'DAMPENING': 0.14292770092835805, 'GAMMA': 0.3104991433982568, 'STEP_SIZE': 45}

#####################################################
Current value: 0.5673878341913223, Current params: {'LEARNING_RATE': 0.0026270256366966714, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.019318321905386165, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7348138073101514, 'DAMPENING': 0.17070707819399875, 'GAMMA': 0.21280775721119313, 'STEP_SIZE': 38}
     Best value: 0.5116968846746853, Best params: {'LEARNING_RATE': 0.0027429695508424273, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.023800223538104806, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8391488616327069, 'DAMPENING': 0.14292770092835805, 'GAMMA': 0.3104991433982568, 'STEP_SIZE': 45}

#####################################################
Current value: 0.5352954252489975, Current params: {'LEARNING_RATE': 0.0032333332437710473, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.01409121077097913, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7506485672563138, 'DAMPENING': 0.18807632519711034, 'GAMMA': 0.14935610811196143, 'STEP_SIZE': 46}
     Best value: 0.5116968846746853, Best params: {'LEARNING_RATE': 0.0027429695508424273, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.023800223538104806, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8391488616327069, 'DAMPENING': 0.14292770092835805, 'GAMMA': 0.3104991433982568, 'STEP_SIZE': 45}

#####################################################
Current value: 0.7750384743724551, Current params: {'LEARNING_RATE': 0.0036180677420298516, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.035816998537784014, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6706328956756492, 'DAMPENING': 0.18779816147052614, 'GAMMA': 0.15919023122759357, 'STEP_SIZE': 47}
     Best value: 0.5116968846746853, Best params: {'LEARNING_RATE': 0.0027429695508424273, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.023800223538104806, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8391488616327069, 'DAMPENING': 0.14292770092835805, 'GAMMA': 0.3104991433982568, 'STEP_SIZE': 45}

#####################################################
