Val set other domain


     Best value: 1.7132789678871632, Best params: {'LEARNING_RATE': 0.0037396369165369047, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08396816108460477, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5584406139363055, 'DAMPENING': 0.039655851288303734, 'GAMMA': 0.23303320308281045, 'STEP_SIZE': 50}

#####################################################
Current value: 1.9922815933823586, Current params: {'LEARNING_RATE': 0.008935496645597871, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09196495216087762, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6019296725304869, 'DAMPENING': 0.1940526732240341, 'GAMMA': 0.42181733169914876, 'STEP_SIZE': 47}
     Best value: 1.7132789678871632, Best params: {'LEARNING_RATE': 0.0037396369165369047, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08396816108460477, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5584406139363055, 'DAMPENING': 0.039655851288303734, 'GAMMA': 0.23303320308281045, 'STEP_SIZE': 50}

#####################################################
Current value: 1.8808334693312645, Current params: {'LEARNING_RATE': 0.007352486868615477, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07466478725012153, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6311810494693111, 'DAMPENING': 0.0254008314870264, 'GAMMA': 0.31565170418448374, 'STEP_SIZE': 37}
     Best value: 1.7132789678871632, Best params: {'LEARNING_RATE': 0.0037396369165369047, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08396816108460477, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5584406139363055, 'DAMPENING': 0.039655851288303734, 'GAMMA': 0.23303320308281045, 'STEP_SIZE': 50}

#####################################################
Current value: 1.8687309995293617, Current params: {'LEARNING_RATE': 0.0049121577495046045, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09226184982122348, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5432522431022474, 'DAMPENING': 0.056892548323414935, 'GAMMA': 0.5599213263022416, 'STEP_SIZE': 46}
