#####################################################
Current value: 2.448298215866089, Current params: {'LEARNING_RATE': 0.0051272441221639365, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09090890547240002, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7968407050987949, 'DAMPENING': 0.039637217086163856, 'GAMMA': 0.2020525790125723, 'STEP_SIZE': 45}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 1.999879138810294, Current params: {'LEARNING_RATE': 0.009198127847959188, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.046495935056853885, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.842105099647271, 'DAMPENING': 0.12270155079638467, 'GAMMA': 0.2994906008163747, 'STEP_SIZE': 40}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 1.9281855864184243, Current params: {'LEARNING_RATE': 0.007303553198806382, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.055196170218979136, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.721970943641471, 'DAMPENING': 0.1349016384868173, 'GAMMA': 0.5566988944662112, 'STEP_SIZE': 24}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 2.301789803164346, Current params: {'LEARNING_RATE': 0.008284452968491847, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.037389488926667415, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.5045284339857995, 'DAMPENING': 0.1542864777115181, 'GAMMA': 0.663337386284262, 'STEP_SIZE': 31}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 1.8523257715361459, Current params: {'LEARNING_RATE': 0.009074248660139941, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.09461844237779694, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7843339110334818, 'DAMPENING': 0.13388719511799047, 'GAMMA': 0.41641822891363256, 'STEP_SIZE': 36}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 1.8637298260416304, Current params: {'LEARNING_RATE': 0.009975217747935455, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.09126821039110178, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8791933946950735, 'DAMPENING': 0.13552670911354128, 'GAMMA': 0.41902252556744907, 'STEP_SIZE': 38}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 1.756611100264958, Current params: {'LEARNING_RATE': 0.00846368471114154, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.08089021387009303, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8134962899127675, 'DAMPENING': 0.16970609300442027, 'GAMMA': 0.1665753452430268, 'STEP_SIZE': 47}
     Best value: 1.756611100264958, Best params: {'LEARNING_RATE': 0.00846368471114154, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.08089021387009303, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8134962899127675, 'DAMPENING': 0.16970609300442027, 'GAMMA': 0.1665753452430268, 'STEP_SIZE': 47}

#####################################################
Current value: 2.1017353108951022, Current params: {'LEARNING_RATE': 0.008412219930702545, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08309831076455107, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.776111230441825, 'DAMPENING': 0.17183364447991364, 'GAMMA': 0.2885445967581698, 'STEP_SIZE': 47}
